grupo,ano,fecha_de_la_primera_nota_que_refiere_al_hallazgo,estado,cve_ente,ciudad_o_localidad,municipio,cve_muni,sitio_de_hallazgo,latitud,longitud,numero_de_fosas,numero_de_cuerpos,masculino,femenino,restos_si_1_no_0,total_restos,osamentas,total_de_cuerpos_y_osamentas,personas_identificadas,pdfs,vinculo_al_archivo_de_internet,nombre_del_medio,vinculo_web_al_medio_digital,averiguacion_previa_estatus_ap_ci,personas_consignadas,delitos_por_los_que_fueron_consignados,estado_procesal,observaciones,fosas_altas,cuerpos_altos,restos_altos
grupo_uno,2009,09/05/09,Chihuahua,08,Puerto Palomas,Ascención,5,na,na,na,2,14,na,na,0,0,0,14,na,fosas clandestinas 2006-2012 (45) págs 32 a 58,na,Reforma; El Sol de México; Impacto; Milenio; Ovaciones; Diario de México; Unomásuno; Crónica; El Gráfico; El Universal; La Jornada,na,na,na,na,na,la cifra puede aumentar a 20 cuerpos de personas,2,20,0
grupo_uno,2009,13/02/09,Coahuila de Zaragoza,05,na,Artega,4,En un paraje conocido como San José de la Roja,na,na,8,0,na,na,1,514,0,0,na,"fosas clandestinas 2006-2012 (45) págs 70, 89 y 90; fosa cuerpos 2006-2012 (42) pág 117; fosas clandestinas 2006-2012 (18) pág 231; FOSA EJECUTADO 2006-2012 (2) pág 8",na,Proceso; El Norte; Excelsior;  La Prensa,na,na,na,na,na,las cifras en un inicio decían entre 16 a 20 cuerpos. Se puso la cifra de 514 restos porque el artículo de Proceso que se sistematizó posteriormente da mayor detalle del hallazgo. La cifra de éste es la que se incluye,8,0,514
grupo_uno,2009,28/06/09,Guanajuato,11,Comunidad cueva de la virgen,Apaseo el Alto,4,na,na,na,1,8,NA,NA,0,0,0,8,na,fosa cuerpos 2006-12 (27) pág  61; fosa ejecutado (1) pág 383; fosas clandestinas 2006-2012 (45) pág 30,na,Milenio; Excelsior; Unomásuno,na,na,na,na,na,la cifra puede aumentar a 20 cuerpos de personas,1,20,0
grupo_uno,2009,07/12/09,Guerrero,12,Petaquillas,Chilpancingo de los Bravo,29,Cerro de Tepango,na,na,1,6,5,na,0,0,0,6,4,"fosa ejecutado 2006-12 (1) págs 369 a 371; fosas clandestinas 2006-2012 (44) págs 79, 91 y 93",http://www.jornada.unam.mx/2009/12/29/politica/008n1pol,La Jornada; Excelsior; Unomásuno; Impacto,na,na,na,na,na,la cifra puede aumentar a 8 cuerpos y 3 fosas,3,8,0
grupo_uno,2009,24/12/09,Guerrero,12,Comunidad de Acatempa,Teloloapan,58,na,na,na,1,2,1,1,0,0,0,2,na,fosa ejecutado 2006-12 (1) pág 370; fosas clandestinas 2006-2012 (44) pág 93; fosas cuerpos 2006-12 (26) pág 128,na,La Jornada; Impacto; Reforma,na,na,na,na,na,puede aumentar a 10 cuerpos,1,10,0
grupo_uno,2009,03/07/09,Michoacán de Ocampo,16,Coatepec de Morelos,Zitácuaro,112,En un finca,na,na,4,4,4,0,0,0,0,4,na,fosas clandestinas 2006-2012 (45) págs 21 a 29,na,El Sol de México; La Crónica; Unomásuno; Excelsior; Impacto; El Universal,na,na,na,na,na,puede aumentar a 5 cuerpos,4,5,0
grupo_uno,2009,30/04/09,Nuevo León,19,na,Anáhuac,5,na,na,na,1,3,3,0,0,0,0,3,na,fosas clandestinas 2006-2012 (45) págs 30 y 68; fosa ejecutado 2006-12 (1) pág 389; fosa cuerpos 2006-12 (27) pág 83,na,Reforma; Diario de México; El Sol de México; Excelsior,na,na,na,na,na,El caso no se está completamente seguros si es en Anáhuac o Vallecillos. Para no duplicar números sólo se está tomando como un caso,1,3,0
grupo_uno,2010,24/08/10,Baja California,02,na,Tijuana,4,"Colonia 3 de octubre, delegación la presa",na,na,1,2,2,na,0,0,0,2,na,fosa cuerpos 2006-12 (23) págs 16 y 20; fosa ejecutado 2006-12 (1) pág 332,na,El Universal; Ovaciones; Excelsior,na,na,na,na,na,las cifras pueden aumentar a 5 cuerpos,1,5,0
grupo_uno,2010,12/12/10,Chihuahua,08,Ascención,Ascención,5,Rancho La Zorrita,na,na,3,4,3,na,0,0,0,4,na,"fosas clandestinas 2006-2012 (41) págs 12, 14, 20, 21, 24, 25, 26, 33, 34, 36, 37,38, 41, 43; fosas clandestinas 2006-2012 (40) 183; fosa cuerpos (17) págs 164, 167, 169, 173, 177, 184, 186,",http://www.excelsior.com.mx/index.php?m=nota&amp;id_nota=696024  ; http://www2.esmas.com/noticierostelevisa/mexico/estados/237038/hallan-chihuahua-5-cuerpos-tres-fosas-clandestinas,Excelsior; Unomásuno; El Sol de México; Diario de México; El Gráfico; Milenio; ESMAS; El Universal,na,na,na,na,na,las cifras pueden aumentar a 5 cuerpos y 5 fosas,5,5,0
grupo_uno,2010,02/12/10,Chihuahua,08,Puerto Palomas,Ascención,5,na,na,na,11,20,17,3,0,0,0,20,na,"fosas clandestinas 2006-2012 (41) 14, 25, 64, 67, 68, 701, 73; fosas clandestinas 2006-2012 (40) pág 183; fosas comunes (5) pág 233;  fosa cuerpos (17) págs 164, 169, 173, 184, 221, 232, 241, 169, 177, 184, 186, 215, 231, 243, 245",http://www.excelsior.com.mx/index.php?m=nota&amp;id_nota=696024  ; http://www.cronica.com.mx/nota.php?id_nota=547587  ; http://www2.esmas.com/noticierostelevisa/mexico/estados/237038/hallan-chihuahua-5-cuerpos-tres-fosas-clandestinas  ; http://www.cronica.com.mx/nota.php?id_nota=547155  ; http://elsemanario.com/news/news_display.php?story_id=50336  ; http://archivo.eluniversal.com.mx/notas/726821.html,Unomásuno; Excelsior; La Crónica de hoy; La Prensa; ESMAS; EL Sol de México; El Semanario; El Universal; Diario de México; La razón de México,na,na,na,na,na,La cifra puede aumentar a 12 fosas,12,20,0
grupo_uno,2010,20/03/10,Chihuahua,08,Samalayuca,Juárez,37,El Vergel,na,na,2,5,na,na,0,0,0,5,na,"fosas clandestinas 2006-2012 (44) 67, 69 y 71",http://www.jornada.unam.mx/2010/03/20/politica/012n1pol,La Jornada; El Sol de México,na,na,na,na,na,La cifra puede aumentar a 13 cuerpos,2,13,0
grupo_uno,2010,05/11/10,Chihuahua,08,Chihuahua,Chihuahua,19,Colonia Granjas del Valle,na,na,1,1,1,na,0,0,0,1,1,fosa cuerpos 2006-12 (19) pág 200; fosa ejecutado 2006-12 (1) págs 293 y 294,http://www.excelsior.com.mx/index.php?m=nota&amp;id_nota=683189  ; http://www.eluniversal.com.mx/notas/722033.html,Excelsior; La Jornada; El Universal,na,na,na,na,na,La cifra puede aumentar a 3 cuerpos,1,3,0
grupo_uno,2010,09/12/10,Ciudad de M�xico,09,na,Tlalpan,12,A unos metros del km 37.5 de la carretera Cuernavaca-México,na,na,1,2,1,na,0,0,0,2,na,"fosas clandestinas 2006-2012 (41) págs 44, 48 y 57; fosa cuerpos (17) págs 95, 189 y 199",na,La Jornada; La Razón de México; Diario de México; Milenio,na,na,na,na,na,Puede aumentar a 2 fosas y 5 cuerpos,2,5,0
grupo_uno,2010,08/06/10,Guerrero,12,na,Taxco de Alarcón,55,Tiro de la mina La Concha,na,na,1,40,na,na,0,0,0,40,na,fosas clandestinas 2006-2012 (44) págs 47 y 50; fosas clandestinas 2006-2012 (42) pág 52; fosa cuerpos 2006-12 (23) pág 20; fosa cuerpos 2006-12 (24) págs 23 y 87,na,Excelsior; La Prensa; Reforma; Ovaciones; Proceso; Milenio,na,na,na,na,na,La cifra puede aumentar a 55 cuerpos,1,55,0
grupo_uno,2010,04/11/10,Guerrero,12,Tuncingo,Acapulco de Juárez,1,En un predio,na,na,1,18,18,0,0,0,0,18,18,"fosa cuerpos 2006-12 (20) págs 35, 37, 38, 39, 50, 51, 84, 86, 95, 113, 120, 142, 149; fosa cuerpos 2006-12 (17) págs 106, 109, 210; fosa cuerpos 2006-12 (18) págs 30, 40, 48, 50, 55, 82, 174, 176, 178;  fosa cuerpos 2006-12 (19) págs 22, 25, 28, 34, 35, 52, 58; fosas clandestinas 2006-2012 (41) págs 184 y 186",http://www.milenio.com/node/570833,Excelsior; Milenio; Mural; Unomásuno; La Prensa; Impacto; Ovaciones; El Universal; Reforma; La Jornada; Diario de México; Metro; Diario Imagen; El Financiero; El Economista; El Norte,na,na,na,na,na,La cifra puede aumentar a 20 cuerpos,1,20,0
grupo_uno,2010,15/12/10,Guerrero,12,Colonia Nueva Revolución,Acapulco de Juárez,1,En una huerta ubicada en zona boscosa,na,na,1,3,1,2,0,0,0,3,na,"fosa cuerpos 2006-12 (17) págs 134, 149, 153, 156; fosas clandestinas 2006-2012 (40) pág 180",na,El Sol de México; Proceso; Impacto; La Prensa,na,na,na,na,na,na,1,3,0
grupo_uno,2010,27/12/10,Guerrero,12,La Magdalena,Teloloapan,58,Camino que conduce a comunidad de La Magdalena,na,na,1,3,na,na,0,0,0,3,na,"fosa cuerpos 2006-12 (17) págs 98, 99 100",http://www.cronica.com.mx/notas/2010/551932.html,El Universal; Crónica; Excelsior,na,na,na,na,na,La cifra puede aumentar a 3 fosas,3,3,0
